ALFreq	MisRate	Cov	Gene	scheme	Ped_power(0.05)	Ped_power(0.01)	Ped_TIR(0.05)	Ped_TIR(0.01)	Rab_power(0.05)	Rab_power(0.01)	Rab_TIR(0.05)	Rab_TIR(0.01)
0.1	0	0.25	0.25	0	5	1	11	3	3	0	7	0
0.1	0	0.25	0.5	0	47	22	11	4	18	4	7	1
0.1	0	0.25	0.75	0	140	107	13	8	108	43	4	1
0.1	0	0.25	1	0	198	190	0	0	181	153	2	1
0.1	0	0.5	0.25	0	4	0	8	2	1	0	9	0
0.1	0	0.5	0.5	0	38	22	10	3	16	3	3	0
0.1	0	0.5	0.75	0	133	105	11	7	89	36	4	0
0.1	0	0.5	1	0	196	188	1	0	169	112	1	0
0.1	0	0.75	0.25	0	2	1	14	2	3	0	12	1
0.1	0	0.75	0.5	0	32	14	13	2	16	2	8	1
0.1	0	0.75	0.75	0	127	89	11	6	81	23	5	1
0.1	0	0.75	1	0	191	182	1	1	162	120	2	0
0.1	0	1	0.25	0	3	1	10	2	1	0	6	0
0.1	0	1	0.5	0	27	17	10	6	19	1	14	0
0.1	0	1	0.75	0	119	91	10	6	81	23	9	1
0.1	0	1	1	0	185	172	2	2	153	101	3	1
0.1	0.25	0.25	0.25	0	3	1	20	6	2	0	5	0
0.1	0.25	0.25	0.5	0	13	6	25	6	21	5	10	1
0.1	0.25	0.25	0.75	0	98	68	11	6	107	40	4	1
0.1	0.25	0.25	1	0	187	170	3	1	177	136	2	1
0.1	0.25	0.5	0.25	0	3	2	20	10	1	0	9	0
0.1	0.25	0.5	0.5	0	15	9	14	6	15	3	2	0
0.1	0.25	0.5	0.75	0	90	59	10	4	94	41	5	0
0.1	0.25	0.5	1	0	178	163	4	2	174	126	2	0
0.1	0.25	0.75	0.25	0	0	0	24	8	3	0	8	1
0.1	0.25	0.75	0.5	0	11	7	20	7	15	1	8	1
0.1	0.25	0.75	0.75	0	79	53	8	1	79	23	5	1
0.1	0.25	0.75	1	0	173	156	2	0	162	120	2	0
0.1	0.25	1	0.25	0	1	1	18	5	1	0	9	0
0.1	0.25	1	0.5	0	14	6	21	6	15	1	12	0
0.1	0.25	1	0.75	0	72	52	17	11	67	13	6	0
0.1	0.25	1	1	0	154	125	7	3	152	99	3	1
0.1	0.5	0.25	0.25	0	2	1	48	23	4	1	8	0
0.1	0.5	0.25	0.5	0	6	2	38	14	16	4	7	0
